LCR,LCR DESC,INC DATETIME,INC NO,LOCATION,DISTRICT
40A,Motor Vehicle Theft,01/28/2015 01:27:00 PM,P15005196,"(35.75573319090099, -78.56596855458662)",SOUTHEAST
40A,Motor Vehicle Theft,01/28/2015 08:14:00 AM,P15005125,"(35.79464806068962, -78.68422897555503)",SOUTWEST
40A,Motor Vehicle Theft,01/27/2015 10:05:00 PM,P15005083,"(35.89580651109203, -78.64972629122812)",NORTH
40A,Motor Vehicle Theft,01/27/2015 09:25:00 AM,P15004938,"(35.84614506063765, -78.5880230823915)",NORTH
40A,Motor Vehicle Theft,01/27/2015 08:35:00 AM,P15004922,"(35.83902331668014, -78.59263956643417)",NORTH
40A,Motor Vehicle Theft,01/26/2015 05:55:00 PM,P15004848,"(35.87012330171369, -78.59710808609604)",NORTH
11,Homicide/Murder-Nonnegligent Manslaughter,01/25/2015 02:22:00 AM,P15004561,"(35.82351700308518, -78.58790416369243)",NORTH
40A,Motor Vehicle Theft,01/24/2015 02:43:00 PM,P15004463,"(35.80533198235715, -78.61802567623626)",NORTH
40A,Motor Vehicle Theft,01/24/2015 02:43:00 PM,P15004435,"(35.86084756287039, -78.58161229406437)",NORTH
40A,Motor Vehicle Theft,01/24/2015 12:29:00 PM,P15004414,"(35.89111276232255, -78.53760438874554)",NORTHEAST
40A,Motor Vehicle Theft,01/24/2015 11:53:00 AM,P15004404,"(35.810580101895276, -78.58748149580083)",NORTHEAST
40A,Motor Vehicle Theft,01/22/2015 04:58:00 PM,P15004033,"(35.81913775959373, -78.59515148901696)",NORTH
40A,Motor Vehicle Theft,01/22/2015 07:37:00 AM,P15003929,"(35.89872854869635, -78.81123135951312)",NORTHWEST
40A,Motor Vehicle Theft,01/21/2015 12:24:00 PM,P15003748,"(35.78523726258277, -78.7338586750363)",SOUTWEST
40A,Motor Vehicle Theft,01/21/2015 09:17:00 AM,P15003724,"(35.855135537526394, -78.70898741577125)",NORTHWEST
40A,Motor Vehicle Theft,01/21/2015 05:03:00 AM,P15003695,"(35.74358233800007, -78.67043887499995)",SOUTWEST
40A,Motor Vehicle Theft,01/21/2015 03:25:00 AM,P15003693,"(35.786856880148065, -78.64887493234897)",DOWNTOWN
40A,Motor Vehicle Theft,01/20/2015 08:01:00 AM,P15003520,"(35.7743813507151, -78.64268805858916)",DOWNTOWN
40A,Motor Vehicle Theft,01/20/2015 02:29:00 AM,P15003508,"(35.75059667588656, -78.59236059208538)",SOUTHEAST
40A,Motor Vehicle Theft,01/19/2015 09:13:00 AM,P15003352,"(35.79308779112088, -78.66451980090443)",SOUTWEST
40A,Motor Vehicle Theft,01/17/2015 08:52:00 PM,P15003175,"(35.77211489296328, -78.63765794070443)",DOWNTOWN
40A,Motor Vehicle Theft,01/17/2015 01:29:00 AM,P15003002,"(35.84118588958808, -78.58237581267436)",NORTH
40A,Motor Vehicle Theft,01/16/2015 12:04:00 AM,P15002744,"(35.779961663914335, -78.64337942549086)",DOWNTOWN
40A,Motor Vehicle Theft,01/15/2015 07:37:00 AM,P15002581,"(35.91772993208636, -78.7769629071262)",NORTHWEST
40A,Motor Vehicle Theft,01/15/2015 07:25:00 AM,P15002580,"(35.89761456300005, -78.79635935399995)",NORTHWEST
40A,Motor Vehicle Theft,01/12/2015 07:50:00 PM,P15002181,"(35.76893950810766, -78.61747029451728)",SOUTHEAST
40A,Motor Vehicle Theft,01/12/2015 07:41:00 AM,P15002028,"(35.72736733245202, -78.55829250894709)",SOUTHEAST
40A,Motor Vehicle Theft,01/11/2015 10:24:00 AM,P15001898,"(35.84635090745517, -78.59625753665416)",NORTH
40A,Motor Vehicle Theft,01/10/2015 07:04:00 AM,P15001721,"(35.85124320030228, -78.5742781688483)",NORTHEAST
40A,Motor Vehicle Theft,01/09/2015 06:36:00 PM,P15001645,"(35.79654443583372, -78.61069144652845)",SOUTHEAST
40A,Motor Vehicle Theft,01/09/2015 10:34:00 AM,P15001536,"(35.85721723778937, -78.67810374975845)",NORTH
40A,Motor Vehicle Theft,01/09/2015 09:40:00 AM,P15001521,"(35.86080346058711, -78.68251594135904)",NORTHWEST
40A,Motor Vehicle Theft,01/09/2015 08:09:00 AM,P15001508,"(35.901530968702204, -78.65557801098002)",NORTH
40A,Motor Vehicle Theft,01/09/2015 08:09:00 AM,P15001506,"(35.87816325906616, -78.63764875705)",NORTH
40A,Motor Vehicle Theft,01/08/2015 12:39:00 PM,P15001376,"(35.83479079408133, -78.59757549806949)",NORTH
40A,Motor Vehicle Theft,01/08/2015 10:24:00 AM,P15001359,"(35.87055630533178, -78.59705088995823)",NORTH
40A,Motor Vehicle Theft,01/08/2015 08:23:00 AM,P15001385,"(35.766602342233824, -78.70600027758607)",SOUTWEST
40A,Motor Vehicle Theft,01/06/2015 07:48:00 PM,P15001084,"(35.78195011455744, -78.62116153947755)",SOUTHEAST
40A,Motor Vehicle Theft,01/05/2015 09:44:00 PM,P15000918,"(35.86765388055925, -78.56497822319554)",NORTHEAST
40A,Motor Vehicle Theft,01/05/2015 07:34:00 PM,P15000895,"(35.864169709718084, -78.63621683088286)",NORTH
40A,Motor Vehicle Theft,01/05/2015 04:51:00 PM,P15000865,"(35.78674466517048, -78.65135812264849)",SOUTWEST
40A,Motor Vehicle Theft,01/05/2015 10:08:00 AM,P15000781,"(35.858947673040575, -78.66765010272594)",NORTH
40A,Motor Vehicle Theft,01/05/2015 08:38:00 AM,P15000753,"(35.79770893400326, -78.55579841113745)",NORTHEAST
40A,Motor Vehicle Theft,01/03/2015 09:20:00 AM,P15000428,"(35.902936263580145, -78.75015332799624)",NORTHWEST
40A,Motor Vehicle Theft,01/03/2015 12:18:00 AM,P15000379,"(35.849708044217145, -78.60147397367882)",NORTH
40A,Motor Vehicle Theft,01/02/2015 06:14:00 PM,P15000317,"(35.78155915821455, -78.69087722271333)",SOUTWEST
40A,Motor Vehicle Theft,01/02/2015 10:12:00 AM,P15000243,"(35.95551973883186, -78.54242198903367)",NORTHEAST
40A,Motor Vehicle Theft,01/02/2015 09:53:00 AM,P15000241,"(35.870817455000065, -78.62447454699998)",NORTH
40A,Motor Vehicle Theft,01/02/2015 07:00:00 AM,P15000225,"(35.85443515600008, -78.57490441899995)",NORTHEAST
40A,Motor Vehicle Theft,12/31/2014 09:38:00 PM,P14113654,"(35.72631071100005, -78.54584326999998)",SOUTHEAST
40A,Motor Vehicle Theft,12/31/2014 03:06:00 PM,P14113589,"(35.74822626539253, -78.61645577023764)",SOUTHEAST
40A,Motor Vehicle Theft,12/31/2014 11:36:00 AM,P14113561,"(35.787229763732334, -78.64721870501502)",DOWNTOWN
40A,Motor Vehicle Theft,12/31/2014 11:10:00 AM,P14113538,"(35.77765528900005, -78.73686060099999)",SOUTWEST
40A,Motor Vehicle Theft,12/31/2014 09:22:00 AM,P14113528,"(35.75545341097975, -78.55117741808354)",SOUTHEAST
40A,Motor Vehicle Theft,12/30/2014 08:52:00 PM,P14113456,"(35.84006722720589, -78.50530506304206)",NORTHEAST
40A,Motor Vehicle Theft,12/30/2014 07:49:00 PM,P14113449,"(35.89869210506354, -78.75548937590477)",NORTHWEST
40A,Motor Vehicle Theft,12/30/2014 11:41:00 AM,P14113356,"(35.890526936297704, -78.56195119818842)",NORTHEAST
40A,Motor Vehicle Theft,12/29/2014 08:25:00 AM,P14113156,"(35.83563793611436, -78.60820148208994)",NORTH
40A,Motor Vehicle Theft,12/29/2014 07:45:00 AM,P14113148,"(35.742994780944436, -78.65120076197397)",SOUTWEST
40A,Motor Vehicle Theft,12/29/2014 07:29:00 AM,P14113150,"(35.76478145638647, -78.63728551058423)",DOWNTOWN
40A,Motor Vehicle Theft,12/29/2014 05:15:00 AM,P14113140,"(35.784343526040416, -78.58060352863237)",SOUTHEAST
40A,Motor Vehicle Theft,12/28/2014 09:49:00 PM,P14113118,"(35.74892210546596, -78.65011101088987)",SOUTWEST
40A,Motor Vehicle Theft,12/28/2014 09:46:00 PM,P14113119,"(35.788279881977296, -78.70368204268647)",SOUTWEST
40A,Motor Vehicle Theft,12/28/2014 06:21:00 AM,P14113027,"(35.79607932983507, -78.66519954769112)",SOUTWEST
40A,Motor Vehicle Theft,12/27/2014 10:17:00 PM,P14112990,"(35.7891971533104, -78.66110300542137)",SOUTWEST
40A,Motor Vehicle Theft,12/27/2014 06:33:00 PM,P14112952,"(35.86019480738403, -78.70372030010971)",NORTHWEST
40A,Motor Vehicle Theft,12/27/2014 04:57:00 PM,P14112928,"(35.8393472362311, -78.60685635053969)",NORTH
40A,Motor Vehicle Theft,12/27/2014 04:26:00 PM,P14112927,"(35.88264020808926, -78.67412053199772)",NORTH
40A,Motor Vehicle Theft,12/26/2014 08:56:00 PM,P14112802,"(35.769715502032206, -78.61878508498592)",SOUTHEAST
40A,Motor Vehicle Theft,12/26/2014 08:07:00 AM,P14112694,"(35.77346691930248, -78.62881477871852)",DOWNTOWN
40A,Motor Vehicle Theft,12/24/2014 04:07:00 PM,P14112527,"(35.76313632605114, -78.7028003213702)",SOUTWEST
40A,Motor Vehicle Theft,12/24/2014 03:56:00 PM,P14112484,"(35.76375451700005, -78.70288084999999)",SOUTWEST
40A,Motor Vehicle Theft,12/24/2014 11:18:00 AM,P14112431,"(35.872746990031494, -78.58986549278775)",NORTH
40A,Motor Vehicle Theft,12/24/2014 09:58:00 AM,P14112408,"(35.77368005797622, -78.59084804763118)",SOUTHEAST
40A,Motor Vehicle Theft,12/24/2014 12:19:00 AM,P14112381,"(35.75004756800007, -78.56925710399997)",SOUTHEAST
40A,Motor Vehicle Theft,12/23/2014 09:10:00 AM,P14112180,"(35.755588567491394, -78.56644550387871)",SOUTHEAST
40A,Motor Vehicle Theft,12/22/2014 10:48:00 AM,P14112010,"(35.82939331751983, -78.62618766451847)",NORTH
40A,Motor Vehicle Theft,12/22/2014 07:59:00 AM,P14111990,"(35.874656222951515, -78.69592016549792)",NORTHWEST
40A,Motor Vehicle Theft,12/22/2014 06:52:00 AM,P14111986,"(35.75420157892458, -78.61088867441973)",SOUTHEAST
40A,Motor Vehicle Theft,12/22/2014 06:45:00 AM,P14111984,"(35.780555494044336, -78.54330363983448)",SOUTHEAST
40A,Motor Vehicle Theft,12/22/2014 05:08:00 AM,P14111976,"(35.75162530231541, -78.56648383798571)",SOUTHEAST
40A,Motor Vehicle Theft,12/21/2014 08:04:00 PM,P14111941,"(35.76319534276516, -78.55529975073242)",SOUTHEAST
40A,Motor Vehicle Theft,12/21/2014 05:22:00 PM,P14111908,"(35.78055795054118, -78.61497776087876)",SOUTHEAST
40A,Motor Vehicle Theft,12/19/2014 07:15:00 PM,P14111558,"(35.782724078432196, -78.61887690543546)",SOUTHEAST
40A,Motor Vehicle Theft,12/19/2014 11:11:00 AM,P14111432,"(35.85211732483203, -78.57538213684661)",NORTHEAST
40A,Motor Vehicle Theft,12/19/2014 10:10:00 AM,P14111420,"(35.77100089142849, -78.6202070032329)",SOUTHEAST
40A,Motor Vehicle Theft,12/18/2014 09:39:00 AM,P14111186,"(35.80497929425317, -78.59420213035435)",NORTHEAST
40A,Motor Vehicle Theft,12/18/2014 06:27:00 AM,P14111156,"(35.840026266954915, -78.59424331409019)",NORTH
40A,Motor Vehicle Theft,12/17/2014 04:48:00 PM,P14111033,"(35.79196530701405, -78.55246260978488)",SOUTHEAST
40A,Motor Vehicle Theft,12/17/2014 06:44:00 AM,P14110920,"(35.78411235644479, -78.61540869898035)",SOUTHEAST
40A,Motor Vehicle Theft,12/17/2014 06:42:00 AM,P14110919,"(35.786193047556935, -78.61674849625147)",SOUTHEAST
40A,Motor Vehicle Theft,12/16/2014 10:14:00 PM,P14110883,"(35.84392825088636, -78.58718247731883)",NORTH
40A,Motor Vehicle Theft,12/16/2014 10:10:00 AM,P14110717,"(35.90365821841268, -78.78784665636499)",NORTHWEST
40A,Motor Vehicle Theft,12/16/2014 08:19:00 AM,P14110690,,
40A,Motor Vehicle Theft,12/16/2014 07:06:00 AM,P14110678,"(35.746954454411274, -78.6080287970502)",SOUTHEAST
40A,Motor Vehicle Theft,12/13/2014 07:39:00 PM,P14110255,"(35.82503383031213, -78.62191744098631)",NORTH
40A,Motor Vehicle Theft,12/13/2014 07:23:00 PM,P14110238,"(35.78551125300004, -78.70395344699995)",SOUTWEST
40A,Motor Vehicle Theft,12/13/2014 07:48:00 AM,P14110139,"(35.8520914592734, -78.55240735571896)",NORTHEAST
40A,Motor Vehicle Theft,12/12/2014 09:07:00 PM,P14110057,"(35.771746993363216, -78.6385487767977)",DOWNTOWN
40A,Motor Vehicle Theft,12/12/2014 07:25:00 AM,P14109866,"(35.86032123955293, -78.56667705849608)",NORTHEAST
40A,Motor Vehicle Theft,12/11/2014 09:59:00 AM,P14109698,"(35.847739382501786, -78.56065734065093)",NORTHEAST
40A,Motor Vehicle Theft,12/11/2014 01:48:00 AM,P14109645,"(35.78012353892776, -78.61345428117393)",SOUTHEAST
40A,Motor Vehicle Theft,12/10/2014 01:04:00 PM,P14109537,"(35.86344351946788, -78.5939630694377)",NORTH
40A,Motor Vehicle Theft,12/09/2014 09:01:00 AM,P14109277,"(35.8713831823699, -78.5888159821211)",NORTH
40A,Motor Vehicle Theft,12/08/2014 03:54:00 PM,P14109146,"(35.90485935993186, -78.75447681756685)",NORTHWEST
40A,Motor Vehicle Theft,12/08/2014 09:15:00 AM,P14109060,"(35.897154040379235, -78.79661320727732)",NORTHWEST
40A,Motor Vehicle Theft,12/06/2014 08:07:00 PM,P14108815,"(35.77460701032079, -78.65440644297357)",DOWNTOWN
40A,Motor Vehicle Theft,12/06/2014 02:45:00 PM,P14108777,"(35.73270148147531, -78.53572544287866)",SOUTHEAST
40A,Motor Vehicle Theft,12/06/2014 02:38:00 PM,P14108747,"(35.790900981173586, -78.64240241559803)",DOWNTOWN
40A,Motor Vehicle Theft,12/06/2014 01:54:00 PM,P14108788,"(35.84776865200007, -78.59111376199998)",NORTH
40A,Motor Vehicle Theft,12/06/2014 10:55:00 AM,P14108716,"(35.909606972316425, -78.77568260470004)",NORTHWEST
40A,Motor Vehicle Theft,12/06/2014 01:21:00 AM,P14108657,"(35.754602349805936, -78.60354353676328)",SOUTHEAST
40A,Motor Vehicle Theft,12/05/2014 11:09:00 PM,P14108631,"(35.7730470913822, -78.72742861204593)",SOUTWEST
40A,Motor Vehicle Theft,12/05/2014 10:14:00 AM,P14108461,"(35.89503098757272, -78.79352462458377)",NORTHWEST
40A,Motor Vehicle Theft,12/05/2014 08:43:00 AM,P14108439,"(35.75022806100003, -78.63128515899996)",SOUTHEAST
40A,Motor Vehicle Theft,12/05/2014 08:08:00 AM,P14108489,"(35.8209476848969, -78.59174874996191)",NORTH
40A,Motor Vehicle Theft,12/04/2014 01:42:00 PM,P14108281,"(35.793960041103404, -78.60411443806902)",SOUTHEAST
40A,Motor Vehicle Theft,12/04/2014 08:20:00 AM,P14108222,"(35.78801146983968, -78.73408012737366)",SOUTWEST
40A,Motor Vehicle Theft,12/03/2014 07:42:00 AM,P14108028,"(35.74870349649625, -78.64784295224106)",DOWNTOWN
40A,Motor Vehicle Theft,12/03/2014 02:28:00 AM,P14107998,"(35.74854842005183, -78.65688092835987)",SOUTWEST
40A,Motor Vehicle Theft,12/02/2014 04:31:00 PM,P14107917,"(35.790635511902664, -78.64246467752834)",DOWNTOWN
40A,Motor Vehicle Theft,12/02/2014 09:45:00 AM,P14107831,"(35.85377816000005, -78.57625074299995)",NORTHEAST
40A,Motor Vehicle Theft,12/01/2014 07:00:00 PM,P14107745,"(35.7955413548311, -78.56828183990069)",SOUTHEAST
40A,Motor Vehicle Theft,12/01/2014 04:46:00 PM,P14107730,"(35.79940832113303, -78.63668143470386)",DOWNTOWN
40A,Motor Vehicle Theft,12/01/2014 04:06:00 PM,P14107705,"(35.851610637359556, -78.58634910204604)",NORTH
40A,Motor Vehicle Theft,12/01/2014 11:21:00 AM,P14107652,"(35.88611821342524, -78.55860798391753)",NORTHEAST
40A,Motor Vehicle Theft,11/30/2014 08:44:00 AM,P14107456,"(35.83972611296506, -78.58287221687532)",NORTH
40A,Motor Vehicle Theft,11/30/2014 07:26:00 AM,P14107433,"(35.89705003475751, -78.5528833654941)",NORTHEAST
40A,Motor Vehicle Theft,11/29/2014 09:36:00 AM,P14107271,"(35.77368501307555, -78.60652641885926)",SOUTHEAST
40A,Motor Vehicle Theft,11/28/2014 06:44:00 PM,P14107207,"(35.836712929271236, -78.64049320207727)",NORTH
40A,Motor Vehicle Theft,11/28/2014 05:10:00 PM,P14107190,"(35.76881615667165, -78.64857622234538)",DOWNTOWN
40A,Motor Vehicle Theft,11/28/2014 08:28:00 AM,P14107102,"(35.83974068223521, -78.67230440244732)",NORTH
40A,Motor Vehicle Theft,11/28/2014 08:27:00 AM,P14107113,"(35.909412483370886, -78.77719028944671)",NORTHWEST
40A,Motor Vehicle Theft,11/26/2014 03:46:00 PM,P14106889,"(35.81953529573982, -78.58852266208616)",NORTHEAST
40A,Motor Vehicle Theft,11/26/2014 12:09:00 PM,P14106835,"(35.90965764316101, -78.77754686776579)",NORTHWEST
40A,Motor Vehicle Theft,11/26/2014 09:03:00 AM,P14106791,"(35.85538654088489, -78.59178226438388)",NORTH
40A,Motor Vehicle Theft,11/25/2014 10:06:00 AM,P14106609,"(35.878408240000056, -78.64259364999998)",NORTH
40A,Motor Vehicle Theft,11/25/2014 08:40:00 AM,P14106607,"(35.74831961644968, -78.65626322948778)",SOUTWEST
40A,Motor Vehicle Theft,11/24/2014 07:58:00 PM,P14106534,"(35.75378552900003, -78.56885610099994)",SOUTHEAST
40A,Motor Vehicle Theft,11/24/2014 07:59:00 AM,P14106339,"(35.87017041637719, -78.62638821576148)",NORTH
40A,Motor Vehicle Theft,11/22/2014 01:28:00 PM,P14106036,"(35.77205004200732, -78.63571804000551)",DOWNTOWN
40A,Motor Vehicle Theft,11/22/2014 09:02:00 AM,P14105988,"(35.74505113047976, -78.64921165274745)",SOUTWEST
40A,Motor Vehicle Theft,11/22/2014 07:18:00 AM,P14105979,"(35.896710857799405, -78.80190739316727)",NORTHWEST
40A,Motor Vehicle Theft,11/22/2014 07:13:00 AM,P14105977,"(35.895802372118254, -78.79524838382021)",NORTHWEST
40A,Motor Vehicle Theft,11/21/2014 07:40:00 AM,P14105751,"(35.910396327080505, -78.78861979431521)",NORTHWEST
40A,Motor Vehicle Theft,11/21/2014 03:33:00 AM,P14105733,"(35.72535755328835, -78.5816815582816)",SOUTHEAST
40A,Motor Vehicle Theft,11/21/2014 01:39:00 AM,P14105723,"(35.72637155418509, -78.57956129811588)",SOUTHEAST
40A,Motor Vehicle Theft,11/20/2014 05:00:00 PM,P14105646,"(35.775125004000074, -78.54617684399994)",SOUTHEAST
40A,Motor Vehicle Theft,11/20/2014 08:54:00 AM,P14105553,"(35.788394725000046, -78.54248117499998)",SOUTHEAST
40A,Motor Vehicle Theft,11/20/2014 05:28:00 AM,P14105531,"(35.788379571000064, -78.54281528599995)",SOUTHEAST
40A,Motor Vehicle Theft,11/20/2014 04:02:00 AM,P14105528,"(35.72407315876921, -78.55864109018206)",SOUTHEAST
40A,Motor Vehicle Theft,11/20/2014 01:26:00 AM,P14105522,"(35.75695580815551, -78.63133536555095)",SOUTHEAST
40A,Motor Vehicle Theft,11/19/2014 12:52:00 PM,P14105379,"(35.77982225186927, -78.61329089066308)",SOUTHEAST
40A,Motor Vehicle Theft,11/18/2014 06:41:00 PM,P14105279,"(35.75051026654762, -78.65664836291015)",SOUTWEST
40A,Motor Vehicle Theft,11/18/2014 06:26:00 PM,P14105277,"(35.74757732700427, -78.60430603699352)",SOUTHEAST
40A,Motor Vehicle Theft,11/18/2014 04:12:00 PM,P14105233,"(35.80398085771135, -78.62139073842599)",NORTH
40A,Motor Vehicle Theft,11/18/2014 10:58:00 AM,P14105144,"(35.79228294654339, -78.54558842297077)",SOUTHEAST
40A,Motor Vehicle Theft,11/17/2014 01:50:00 PM,P14104949,"(35.765702546596586, -78.63731501700619)",DOWNTOWN
40A,Motor Vehicle Theft,11/16/2014 08:01:00 PM,P14104836,"(35.86729989999454, -78.62646161837625)",NORTH
40A,Motor Vehicle Theft,11/16/2014 11:43:00 AM,P14104767,"(35.771959045111494, -78.6244861413456)",SOUTHEAST
40A,Motor Vehicle Theft,11/15/2014 11:26:00 AM,P14104592,"(35.8464431147428, -78.59595404586872)",NORTH
40A,Motor Vehicle Theft,11/15/2014 11:01:00 AM,P14104587,"(35.88597758106406, -78.6003150906921)",NORTH
40A,Motor Vehicle Theft,11/15/2014 07:09:00 AM,P14104566,"(35.79149113599001, -78.62628285882481)",DOWNTOWN
12,Homicide/Negligent Manslaughter,11/14/2014 11:01:00 PM,P14104541,"(35.79624249781201, -78.56854879548003)",SOUTHEAST
40A,Motor Vehicle Theft,11/14/2014 04:36:00 AM,P14104329,"(35.76517760437695, -78.63153050111644)",DOWNTOWN
40A,Motor Vehicle Theft,11/13/2014 09:50:00 AM,P14104136,"(35.78321589679326, -78.55445248400267)",SOUTHEAST
40A,Motor Vehicle Theft,11/13/2014 08:59:00 AM,P14104125,"(35.77567981800007, -78.68989882299996)",SOUTWEST
40A,Motor Vehicle Theft,11/12/2014 04:34:00 PM,P14103994,"(35.78360481255415, -78.68865581174781)",SOUTWEST
40A,Motor Vehicle Theft,11/12/2014 12:03:00 PM,P14103913,"(35.816810627552954, -78.62543430301618)",NORTH
40A,Motor Vehicle Theft,11/11/2014 07:39:00 AM,P14103659,"(35.896703326200395, -78.74719335836392)",NORTHWEST
40A,Motor Vehicle Theft,11/11/2014 02:06:00 AM,P14103657,"(35.81643314300004, -78.63023830599997)",NORTH
40A,Motor Vehicle Theft,11/11/2014 01:33:00 AM,P14103650,"(35.85060120666533, -78.61500898668532)",NORTH
40A,Motor Vehicle Theft,11/10/2014 08:51:00 AM,P14103502,"(35.8256159368376, -78.61312203514541)",NORTH
40A,Motor Vehicle Theft,11/10/2014 08:15:00 AM,P14103495,"(35.788316680762854, -78.60493231384855)",SOUTHEAST
40A,Motor Vehicle Theft,11/10/2014 08:10:00 AM,P14103492,"(35.90515961688972, -78.78858446661303)",NORTHWEST
40A,Motor Vehicle Theft,11/10/2014 07:56:00 AM,P14103487,"(35.914279993425716, -78.7875490078055)",NORTHWEST
40A,Motor Vehicle Theft,11/09/2014 12:04:00 PM,P14103361,"(35.84093340638639, -78.59515508726064)",NORTH
40A,Motor Vehicle Theft,11/09/2014 02:15:00 AM,P14103307,"(35.837369258916524, -78.60173411443179)",NORTH
40A,Motor Vehicle Theft,11/08/2014 11:46:00 AM,P14103188,"(35.88346552239635, -78.56215963059519)",NORTHEAST
40A,Motor Vehicle Theft,11/08/2014 01:56:00 AM,P14103134,"(35.765281139692426, -78.63297955664463)",DOWNTOWN
40A,Motor Vehicle Theft,11/07/2014 04:07:00 PM,P14103025,"(35.9064046581667, -78.55521051518873)",NORTHEAST
40A,Motor Vehicle Theft,11/07/2014 08:23:00 AM,P14102915,"(35.7695733623391, -78.62778316726498)",DOWNTOWN
40A,Motor Vehicle Theft,11/06/2014 07:26:00 AM,P14102683,"(35.824651586707255, -78.62540818755755)",NORTH
40A,Motor Vehicle Theft,11/06/2014 06:59:00 AM,P14102678,"(35.84311841305371, -78.58936166543322)",NORTH
40A,Motor Vehicle Theft,11/05/2014 02:11:00 PM,P14102549,"(35.791752762729196, -78.69124785383889)",SOUTWEST
40A,Motor Vehicle Theft,11/05/2014 12:46:00 PM,P14102518,"(35.797888324956176, -78.55719509714274)",SOUTHEAST
40A,Motor Vehicle Theft,11/05/2014 09:25:00 AM,P14102503,"(35.782134679295794, -78.57369350325826)",SOUTHEAST
40A,Motor Vehicle Theft,11/05/2014 08:10:00 AM,P14102461,"(35.78814224052027, -78.58853470453863)",SOUTHEAST
40A,Motor Vehicle Theft,11/04/2014 10:16:00 AM,P14102276,"(35.801764978629386, -78.66602942254862)",SOUTWEST
40A,Motor Vehicle Theft,11/03/2014 02:55:00 PM,P14102115,"(35.75183668126671, -78.68207087331767)",SOUTWEST
40A,Motor Vehicle Theft,11/03/2014 07:58:00 AM,P14102039,"(35.82585492215184, -78.62101184005569)",NORTH
40A,Motor Vehicle Theft,11/02/2014 02:24:00 PM,P14101927,"(35.814796730153134, -78.63113265960683)",NORTH
40A,Motor Vehicle Theft,11/02/2014 01:01:00 PM,P14101919,"(35.7821957409761, -78.6982742357124)",SOUTWEST
40A,Motor Vehicle Theft,11/02/2014 09:57:00 AM,P14101890,"(35.74499980251364, -78.6585307128112)",SOUTWEST
40A,Motor Vehicle Theft,11/01/2014 10:58:00 PM,P14101819,"(35.844470510587826, -78.57927586212558)",NORTHEAST
40A,Motor Vehicle Theft,11/01/2014 08:47:00 PM,P14101807,"(35.77700704674612, -78.68608351290851)",SOUTWEST
40A,Motor Vehicle Theft,11/01/2014 08:49:00 AM,P14101696,"(35.874482406957696, -78.59508135459056)",NORTH
40A,Motor Vehicle Theft,11/01/2014 03:44:00 AM,P14101668,"(35.86229677207865, -78.70174991781964)",NORTHWEST
40A,Motor Vehicle Theft,10/31/2014 03:50:00 PM,P14101542,"(35.860181509850634, -78.71522452263525)",NORTHWEST
40A,Motor Vehicle Theft,10/29/2014 09:55:00 AM,P14100995,"(35.8478261117393, -78.57236702307169)",NORTHEAST
40A,Motor Vehicle Theft,10/28/2014 12:27:00 PM,P14100807,"(35.78335592486477, -78.69545396656086)",SOUTWEST
40A,Motor Vehicle Theft,10/28/2014 10:57:00 AM,P14100787,"(35.90335137924933, -78.79578483790266)",NORTHWEST
40A,Motor Vehicle Theft,10/28/2014 07:44:00 AM,P14100755,"(35.867848988584896, -78.65526850776949)",NORTH
40A,Motor Vehicle Theft,10/26/2014 01:19:00 PM,P14100409,"(35.77945481076028, -78.61676896822472)",SOUTHEAST
40A,Motor Vehicle Theft,10/25/2014 07:28:00 PM,P14100287,"(35.78303502564781, -78.72173689760344)",SOUTWEST
40A,Motor Vehicle Theft,10/25/2014 12:37:00 PM,P14100189,"(35.791377605675336, -78.7140358633255)",
40A,Motor Vehicle Theft,10/24/2014 10:04:00 AM,P14099902,"(35.76995967095188, -78.62759974586126)",DOWNTOWN
40A,Motor Vehicle Theft,10/24/2014 07:55:00 AM,P14099877,"(35.84490627377528, -78.58303290266169)",NORTH
40A,Motor Vehicle Theft,10/24/2014 07:51:00 AM,P14099876,"(35.788184617657166, -78.60620077142829)",SOUTHEAST
40A,Motor Vehicle Theft,10/20/2014 10:58:00 AM,P14099106,"(35.89564764299488, -78.61602509950801)",NORTH
40A,Motor Vehicle Theft,10/20/2014 08:24:00 AM,P14099069,"(35.75147641723736, -78.55931567703801)",SOUTHEAST
40A,Motor Vehicle Theft,10/18/2014 12:04:00 PM,P14098724,"(35.722979946000066, -78.57826435899995)",SOUTHEAST
40A,Motor Vehicle Theft,10/17/2014 10:10:00 AM,P14098476,"(35.7929864090752, -78.64535253002248)",DOWNTOWN
40A,Motor Vehicle Theft,10/16/2014 09:25:00 AM,P14098244,"(35.775520342755264, -78.62050848812292)",SOUTHEAST
40A,Motor Vehicle Theft,10/16/2014 09:21:00 AM,P14098237,"(35.7690831178391, -78.61647845210031)",SOUTHEAST
40A,Motor Vehicle Theft,10/16/2014 08:40:00 AM,P14098236,"(35.89363374624245, -78.7421969141869)",NORTHWEST
40A,Motor Vehicle Theft,10/16/2014 08:05:00 AM,P14098239,"(35.745879989479405, -78.64751438845143)",DOWNTOWN
40A,Motor Vehicle Theft,10/16/2014 03:43:00 AM,P14098217,"(35.81786402146848, -78.55369096995496)",NORTHEAST
40A,Motor Vehicle Theft,10/15/2014 08:50:00 PM,P14098167,"(35.778504188341515, -78.64579213725733)",DOWNTOWN
