LCR,LCR DESC,INC DATETIME,INC NO,LOCATION,DISTRICT
40A,Motor Vehicle Theft,07/04/2015 11:51:00 AM,P15036117,"(35.7497444669222, -78.6088448417715)",SOUTHEAST
40A,Motor Vehicle Theft,07/03/2015 11:13:00 AM,P15035935,"(35.79835848040694, -78.57708881389227)",SOUTHEAST
40A,Motor Vehicle Theft,07/03/2015 10:35:00 AM,P15035931,"(35.75156187830995, -78.68463560645591)",SOUTWEST
40A,Motor Vehicle Theft,07/03/2015 10:26:00 AM,P15035934,"(35.877636968222575, -78.58629720779672)",NORTH
40A,Motor Vehicle Theft,07/03/2015 06:58:00 AM,P15035902,"(35.85392537833748, -78.5654754309072)",NORTHEAST
40A,Motor Vehicle Theft,07/03/2015 02:16:00 AM,P15035887,"(35.84761343492663, -78.61054285870375)",NORTH
40A,Motor Vehicle Theft,07/02/2015 01:49:00 PM,P15035748,"(35.78617879336512, -78.5546770271886)",SOUTHEAST
40A,Motor Vehicle Theft,07/02/2015 01:26:00 PM,P15035744,"(35.778704222160506, -78.63883551461745)",DOWNTOWN
40A,Motor Vehicle Theft,07/02/2015 10:17:00 AM,P15035707,"(35.78367365312076, -78.70362112532042)",SOUTWEST
40A,Motor Vehicle Theft,07/02/2015 09:56:00 AM,P15035703,"(35.896077575144474, -78.65375153389627)",NORTH
40A,Motor Vehicle Theft,07/02/2015 08:51:00 AM,P15035692,"(35.865515143099536, -78.59290663002074)",NORTH
40A,Motor Vehicle Theft,07/02/2015 07:59:00 AM,P15035679,"(35.77874241264792, -78.61573883430171)",SOUTHEAST
11,Homicide/Murder-Nonnegligent Manslaughter,07/02/2015 04:02:00 AM,P15035665,"(35.77018841946375, -78.62360491202966)",SOUTHEAST
40A,Motor Vehicle Theft,07/01/2015 08:09:00 PM,P15035609,"(35.81338097605815, -78.62728630938982)",NORTH
40A,Motor Vehicle Theft,07/01/2015 02:10:00 PM,P15035542,"(35.84349449144445, -78.69068706947434)",NORTHWEST
40A,Motor Vehicle Theft,07/01/2015 02:06:00 PM,P15035537,"(35.80625747854488, -78.63744858326477)",DOWNTOWN
40A,Motor Vehicle Theft,07/01/2015 12:52:00 PM,P15035528,"(35.77556635236161, -78.54709333528463)",SOUTHEAST
40A,Motor Vehicle Theft,07/01/2015 12:52:00 PM,P15035523,"(35.734487766069876, -78.53594696898145)",SOUTHEAST
40A,Motor Vehicle Theft,06/28/2015 08:42:00 PM,P15035005,"(35.744726741442946, -78.61083703036977)",SOUTHEAST
40A,Motor Vehicle Theft,06/26/2015 03:55:00 PM,P15034608,"(35.76766150117441, -78.64885889220322)",DOWNTOWN
40A,Motor Vehicle Theft,06/26/2015 11:18:00 AM,P15034550,"(35.792638416767986, -78.6362335111396)",DOWNTOWN
40A,Motor Vehicle Theft,06/26/2015 10:07:00 AM,P15034534,"(35.864641550000044, -78.71030592399995)",NORTHWEST
40A,Motor Vehicle Theft,06/26/2015 08:10:00 AM,P15034524,"(35.7854947462231, -78.6135261132914)",SOUTHEAST
